stop_id,stop_city
759511,
759512,
759513,
759514,
759554,
759657,
759658,
759659,
759660,
759670,
759671,
759674,
759675,
759676,
759677,
759678,
759679,
759680,
759681,
759682,
759683,
759684,
759692,
759693,
759694,
759695,
759696,
759697,
759698,
759699,
759700,
759701,
759704,
759705,
759706,
759744,
759776,
759827,
759838,
759878,
759903,
759905,
759915,
759956,
759971,
759972,
759973,
759975,
759976,
759977,
760002,
760003,
772515,
772516,
778232,Asheville
783788,
783792,
849477,
849478,
849479,
849480,
849481,
849482,
849483,
849484,
849485,
849486,
2319878,
2319879,
2319894,
2320944,
2320945,
