agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes,eligibility_restricted
190,1134,170,,Asheville - Swannanoa - Black Mountain,3,http://www.ashevillenc.gov/Portals/0/city-documents/transit/2016/170_web.pdf,949699,000000,1,120,0
190,1137,S3,South 3,ART Center - Asheland - McDowell - Biltmore Village - Hendersonville Rd. - Airport,3,http://www.ashevillenc.gov/Portals/0/city-documents/transit/2015%20new%20maps/S3_webRev.pdf,f388b5,ffffff,10,90,0
190,1138,S4,South 4,ART Center - S. French Broad - Depot - Livingston Heights - AB Tech,3,http://www.ashevillenc.gov/Portals/0/city-documents/transit/2015%20new%20maps/S4_web.pdf,982c36,ffffff,11,60,0
190,1507,S5,South 5,ART Center - Patton Ave - North Louisiana - Emma,3,http://www.ashevillenc.gov/Portals/0/city-documents/transit/2015%20new%20maps/S5_web.pdf,39b54a,ffffff,12,60,0
190,5338,S6,South 6,ART Center - Asheland - McDowell - Biltmore Village - MAHEC - Hendersonville Rd. - Biltmore Park,3,,f37021,ffffff,13,90,0
190,1139,W1,West 1,ART Center- Hilliard - Clingman - Haywood - PVA - Deaverview area,3,http://www.ashevillenc.gov/Portals/0/city-documents/transit/2015%20new%20maps/W1_web.pdf,fcca43,000000,14,60,0
190,1140,W2,West 2,ART Center - Hilliard - Clingman - Haywood - PVA - Brevard - Biltmore Square Mall,3,http://www.ashevillenc.gov/Portals/0/city-documents/transit/2015%20new%20maps/W2_web_rev.pdf,1d69a1,ffffff,15,60,0
190,1141,W3,West 3,ART Center - Patton - Goodwill,3,http://www.ashevillenc.gov/Portals/0/city-documents/transit/2015%20new%20maps/W3_web.pdf,bb7755,ffffff,16,60,0
190,1142,W4,West 4,ART Center - Patton - New Leicester - Land of Sky,3,http://www.ashevillenc.gov/Portals/0/city-documents/transit/2015%20new%20maps/W4_web.pdf,b4acd2,ffffff,17,60,0
190,1508,W5,West 5,ART Center - Biltmore Village - Fairview - Swannanoa River - Wood,3,http://www.ashevillenc.gov/Portals/0/city-documents/transit/2015%20new%20maps/W5_web.pdf,d70b8c,ffffff,18,60,0
190,1128,E1,East 1,ART Center - Tunnel - Asheville Mall- South Tunnel - Swannanoa River - VA,3,http://www.ashevillenc.gov/Portals/0/city-documents/transit/2015%20new%20maps/E1_web.pdf,fbad41,000000,2,60,0
190,1129,E2,East 2,ART Center - Tunnel - Asheville Mall- Haw Creek - US 70 Hwy to Porters Cove,3,http://www.ashevillenc.gov/Portals/0/city-documents/transit/2015%20new%20maps/E2_webRev.pdf,9cd198,000000,3,60,0
190,1130,N,North,Klondyke - Montford - Downtown - MLK - Charlotte - Grove Park,3,http://www.ashevillenc.gov/Portals/0/city-documents/transit/2015%20new%20maps/N_web.pdf,6c8e80,ffffff,4,60,0
190,1131,N1,North 1,ART Center - Merrimon - UNCA - Lakeshore,3,http://www.ashevillenc.gov/Portals/0/city-documents/transit/2015%20new%20maps/N1_webRev2.pdf,a6d070,000000,5,60,0
190,1132,N2,North 2,ART Center - Merrimon - UNCA - Beaverdam,3,http://www.ashevillenc.gov/Portals/0/city-documents/transit/2015%20new%20maps/N2_web.pdf,6253a2,ffffff,6,60,0
190,1133,N3,North 3,ART Center - Chamber - Hillcrest,3,http://www.ashevillenc.gov/Portals/0/city-documents/transit/2015%20new%20maps/N3_web.pdf,f4ac9d,000000,7,60,0
190,1135,S1,South 1,ART Center- Biltmore- Hospital - Biltmore Village -London - Shiloh - Caribou - Rock Hill- Sweeten Creek,3,http://www.ashevillenc.gov/Portals/0/city-documents/transit/2015%20new%20maps/S1_web.pdf,fdde4d,000000,8,60,0
190,1136,S2,South 2,ART Center - Biltmore -Hospital - Forest Hill -Kenilworth - Chunns Cove - Social Security ,3,http://www.ashevillenc.gov/Portals/0/city-documents/transit/2015%20new%20maps/S2_web.pdf,5cabdf,000000,9,60,0
